source,missing_set,experiment_mode,experiment,seed,model_type,model_path,n,latency_s,training_s,r2,mae,rmse,nmae,accuracy,macro_f1,residual_mean,residual_std
internal_test,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,4,lr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/indicator_reconstruction/missing_bod/lr.joblib,10000,0.0142750870436429,0.0794256888329982,0.6819559308140037,9.2174239848675,11.39337251039773,0.1046602019401328,0.4791,0.4117799611193278,-0.0438769638007154,11.393857730028556
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,4,lr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/indicator_reconstruction/missing_bod/lr.joblib,10714,0.0169261340051889,0.0794256888329982,-0.325124917485756,16.036774146312514,17.368396189552815,0.2648517612933528,0.277487399663991,0.20589344061261,-14.963772250572172,8.817820788629957
internal_test,missing_nh3n,inference_dropout,inference_dropout_missing_nh3n,4,lr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/full_reference/lr.joblib,10000,0.0097933784127235,0.0120847318321466,0.6574607160207389,9.672344523936772,11.82398415677483,0.1098256446455861,0.4566,0.3089884148135067,-0.0725816187423771,11.824352615672492
external_10714,missing_nh3n,inference_dropout,inference_dropout_missing_nh3n,4,lr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/full_reference/lr.joblib,10714,0.011690754443407,0.0120847318321466,0.6188286979319164,7.642933974516227,9.315183292790428,0.1262251688607139,0.6201232032854209,0.2656577807147667,-0.6121804585608605,9.295479526838005
internal_test,missing_nh3n,reduced_retraining,reduced_retraining_missing_nh3n,4,lr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/reduced_retraining/missing_nh3n/lr.joblib,10000,0.0100803524255752,0.0150230471044778,0.6804295167433325,8.937735682274194,11.420680341627824,0.1014844519390734,0.5119,0.4974372774030713,-0.0803616600664167,11.420968668277128
external_10714,missing_nh3n,reduced_retraining,reduced_retraining_missing_nh3n,4,lr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/reduced_retraining/missing_nh3n/lr.joblib,10714,0.0068087223917245,0.0150230471044778,0.7279267796471334,6.413146003160252,7.869990453404806,0.1059148803164368,0.6827515400410678,0.4203067021659873,0.92961386267545,7.815258702911091
internal_test,missing_nh3n,indicator_reconstruction,indicator_reconstruction_missing_nh3n,4,lr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/indicator_reconstruction/missing_nh3n/lr.joblib,10000,0.0174007546156644,0.0421769544482231,0.6804295167433325,8.937735682274193,11.420680341627824,0.1014844519390733,0.5119,0.4974372774030713,-0.0803616600664157,11.420968668277126
external_10714,missing_nh3n,indicator_reconstruction,indicator_reconstruction_missing_nh3n,4,lr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/indicator_reconstruction/missing_nh3n/lr.joblib,10714,0.0184531938284635,0.0421769544482231,0.7279267796471331,6.413146003160255,7.86999045340481,0.1059148803164369,0.6827515400410678,0.4203067021659873,0.9296138626754532,7.815258702911095
internal_test,missing_bod_nh3n,inference_dropout,inference_dropout_missing_bod_nh3n,4,lr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/full_reference/lr.joblib,10000,0.0073470100760459,0.0120847318321466,0.5751121397371319,11.007595044285337,13.168788047571796,0.1249868859348851,0.4035,0.2570911872244563,-0.0806538366162443,13.16919953460145
external_10714,missing_bod_nh3n,inference_dropout,inference_dropout_missing_bod_nh3n,4,lr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/full_reference/lr.joblib,10714,0.011201636865735,0.0120847318321466,-0.2811444750549812,15.557870772619594,17.0777385705428,0.2569425395973508,0.264140377076722,0.133448973717193,-15.52848049145185,7.107753769751813
internal_test,missing_bod_nh3n,reduced_retraining,reduced_retraining_missing_bod_nh3n,4,lr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/reduced_retraining/missing_bod_nh3n/lr.joblib,10000,0.0103465095162391,0.013431679457426,0.5982252225006951,10.367171504227471,12.80560144596592,0.1177151300582204,0.4452,0.3785138749115926,-0.0890710579097169,12.805931982052702
external_10714,missing_bod_nh3n,reduced_retraining,reduced_retraining_missing_bod_nh3n,4,lr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/reduced_retraining/missing_bod_nh3n/lr.joblib,10714,0.00260223262012,0.013431679457426,-0.2675179812141022,15.383094197904118,16.986674758912965,0.2540560561173264,0.297274593989173,0.235266780711095,-15.130255335251194,7.721920634728482
internal_test,missing_bod_nh3n,indicator_reconstruction,indicator_reconstruction_missing_bod_nh3n,4,lr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/indicator_reconstruction/missing_bod_nh3n/lr.joblib,10000,0.0163858346641063,0.0768914390355348,0.5981695488042252,10.36746351650551,12.806488647592182,0.1177184457420859,0.4445,0.3776052099648943,-0.0874259590138786,12.806830586587974
external_10714,missing_bod_nh3n,indicator_reconstruction,indicator_reconstruction_missing_bod_nh3n,4,lr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/indicator_reconstruction/missing_bod_nh3n/lr.joblib,10714,0.008448539301753,0.0768914390355348,-0.2673391568374583,15.382028307517029,16.985476456909907,0.2540384526427254,0.2981146163897704,0.2357157012769757,-15.1297111166909,7.720350715143735
internal_test,complete,full_reference,full_reference,4,mpr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/full_reference/mpr.joblib,10000,0.0066084470599889,0.0455551035702228,0.8927871695129499,5.356743042948544,6.61503318559825,0.0608236975468212,0.7266,0.6039101183191323,0.0082789752550494,6.615358781072656
external_10714,complete,full_reference,full_reference,4,mpr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/full_reference/mpr.joblib,10714,0.0291775446385145,0.0455551035702228,0.8458331541072364,4.749174141167133,5.924160288609379,0.078433924709614,0.675564681724846,0.5035074000792751,0.2362167506850754,5.919725293696032
internal_test,missing_bod,inference_dropout,inference_dropout_missing_bod,4,mpr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/full_reference/mpr.joblib,10000,0.0131855607032775,0.0455551035702228,0.4264596948735095,12.837075469968276,15.29997136000087,0.1457599122285486,0.3458,0.3121099849435151,10.781238118245705,10.856602361513309
external_10714,missing_bod,inference_dropout,inference_dropout_missing_bod,4,mpr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/full_reference/mpr.joblib,10714,0.0162448901683092,0.0455551035702228,0.7171061721306076,6.388122787979555,8.02496308075124,0.1055016149955335,0.6778980772820609,0.5115960408649274,-4.906284938613313,6.350760976791687
internal_test,missing_bod,reduced_retraining,reduced_retraining_missing_bod,4,mpr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/reduced_retraining/missing_bod/mpr.joblib,10000,0.0117972735315561,0.0362106934189796,0.7762581966319627,7.784707286888894,9.556133614159682,0.088392270771987,0.5375,0.4718424062362195,-0.0526641008107885,9.556466331706154
external_10714,missing_bod,reduced_retraining,reduced_retraining_missing_bod,4,mpr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/reduced_retraining/missing_bod/mpr.joblib,10714,0.0097939595580101,0.0362106934189796,-0.3061357920807896,15.982812207561487,17.243502021695974,0.2639605649473408,0.2717939145043868,0.2512282011008236,-15.179285893432455,8.181313407225684
internal_test,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,4,mpr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/indicator_reconstruction/missing_bod/mpr.joblib,10000,0.0176464579999446,0.1247015949338674,0.7887409447755016,7.454608310604746,9.28573558855716,0.0846441275190728,0.6029,0.5175179212670536,0.0047922077734999,9.286198673511247
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,4,mpr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/indicator_reconstruction/missing_bod/mpr.joblib,10714,0.0177577380090951,0.1247015949338674,-0.3157199985258132,16.008031806242094,17.306651358535078,0.2643770735960709,0.2393130483479559,0.2374055115250896,-15.30791069716381,8.074288592926312
internal_test,missing_nh3n,inference_dropout,inference_dropout_missing_nh3n,4,mpr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/full_reference/mpr.joblib,10000,0.0048128012567758,0.0455551035702228,0.801711221165792,7.595457714748841,8.99617127920467,0.0862434167678987,0.5026,0.4588313537950987,2.1113296806403303,8.745343490550328
external_10714,missing_nh3n,inference_dropout,inference_dropout_missing_nh3n,4,mpr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/full_reference/mpr.joblib,10714,0.0139107722789049,0.0455551035702228,0.7635486384234751,5.982272379345491,7.336724589825508,0.0987988832261848,0.6712712338995707,0.4730579177166077,2.014114248116936,7.05517663431069
internal_test,missing_nh3n,reduced_retraining,reduced_retraining_missing_nh3n,4,mpr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/reduced_retraining/missing_nh3n/mpr.joblib,10000,0.011844603344798,0.0321761723607778,0.8615868704656136,5.974126898466518,7.51618204668777,0.067833846922522,0.6985,0.5874843149656798,0.0350263017665862,7.516476266089183
external_10714,missing_nh3n,reduced_retraining,reduced_retraining_missing_nh3n,4,mpr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/reduced_retraining/missing_nh3n/mpr.joblib,10714,0.0120822135359048,0.0321761723607778,0.7743943912934403,5.5408008887200895,7.166485939631894,0.0915078594338578,0.6616576442038454,0.5153473018624289,0.9880116879443736,7.098384079829877
internal_test,missing_nh3n,indicator_reconstruction,indicator_reconstruction_missing_nh3n,4,mpr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/indicator_reconstruction/missing_nh3n/mpr.joblib,10000,0.0097173750400543,0.129714410752058,0.9044053483784308,4.8789078147001685,6.246337465139908,0.055398067613264,0.7371,0.6544976254082456,-0.0174806199431347,6.246625344068248
external_10714,missing_nh3n,indicator_reconstruction,indicator_reconstruction_missing_nh3n,4,mpr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/indicator_reconstruction/missing_nh3n/mpr.joblib,10714,0.0109407939016819,0.129714410752058,0.6906266513992219,6.175156854929702,8.39214069098374,0.1019844236982609,0.6239499719992533,0.3802958209790754,-0.4125542479622145,8.382385254429472
