source,missing_set,experiment_mode,experiment,model_type,metric,point_estimate,bootstrap_mean,ci95_low,ci95_high,n_bootstrap,n_runs,n_per_run
internal_test,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,svm,mae,4.749395511984485,4.748335115354724,4.721669123167612,4.766795552095186,200,5,10000
internal_test,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,svm,rmse,7.162039147647566,7.162572749501567,7.119629176137399,7.202106926364208,200,5,10000
internal_test,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,svm,nmae,0.0544877152906013,0.0545048712617168,0.0537516179447168,0.0551809373737345,200,5,10000
internal_test,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,svm,accuracy,0.7632,0.7631721000000001,0.7608395000000001,0.766,200,5,10000
internal_test,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,svm,macro_f1,0.6957116585565639,0.6943905323241298,0.6795397834644522,0.7127567701762189,200,5,10000
internal_test,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,xgboost,r2,0.8786131050156925,0.878616235552135,0.8769343985658786,0.8800072821224114,200,5,10000
internal_test,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,xgboost,mae,4.914036300949097,4.916209857415115,4.889742609463501,4.942061602645188,200,5,10000
internal_test,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,xgboost,rmse,7.018534445091836,7.0192588121828585,6.978741848186805,7.061804138724078,200,5,10000
internal_test,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,xgboost,nmae,0.0563776815479412,0.0563634296869643,0.0555452067546836,0.0570862879356106,200,5,10000
internal_test,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,xgboost,accuracy,0.75948,0.7594404,0.7581549999999999,0.7608400000000001,200,5,10000
internal_test,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,xgboost,macro_f1,0.7292243255748568,0.7307166634981564,0.7085126651190391,0.7524289350082657,200,5,10000
internal_test,missing_bod,inference_dropout,inference_dropout_missing_bod,lightgbm,r2,0.5066760421864492,0.5067876612287567,0.4995216209340484,0.5136180015761879,200,5,10000
internal_test,missing_bod,inference_dropout,inference_dropout_missing_bod,lightgbm,mae,12.17263853587193,12.171782495113447,12.086058784689063,12.241247833915498,200,5,10000
internal_test,missing_bod,inference_dropout,inference_dropout_missing_bod,lightgbm,rmse,14.14866480262296,14.149350448142696,14.056627715243344,14.245148304975196,200,5,10000
internal_test,missing_bod,inference_dropout,inference_dropout_missing_bod,lightgbm,nmae,0.1396798644120362,0.1394959996538163,0.1366750494935239,0.1426489526426196,200,5,10000
internal_test,missing_bod,inference_dropout,inference_dropout_missing_bod,lightgbm,accuracy,0.3701399999999999,0.3701927999999999,0.3673985,0.3735025,200,5,10000
internal_test,missing_bod,inference_dropout,inference_dropout_missing_bod,lightgbm,macro_f1,0.4001975023332728,0.4007957279199936,0.3798031178342453,0.4253628701115754,200,5,10000
internal_test,missing_bod,inference_dropout,inference_dropout_missing_bod,lr,r2,0.6824950496261015,0.6824744370564523,0.6797593910583407,0.6854933768068395,200,5,10000
internal_test,missing_bod,inference_dropout,inference_dropout_missing_bod,lr,mae,9.18942370411734,9.190250458409244,9.157654873556844,9.223506802632633,200,5,10000
internal_test,missing_bod,inference_dropout,inference_dropout_missing_bod,lr,rmse,11.351083895723708,11.3542637624833,11.30122692675734,11.40723739509976,200,5,10000
internal_test,missing_bod,inference_dropout,inference_dropout_missing_bod,lr,nmae,0.1054272805294447,0.1053779593442106,0.1036754468517515,0.1067708488441697,200,5,10000
internal_test,missing_bod,inference_dropout,inference_dropout_missing_bod,lr,accuracy,0.4785999999999999,0.4786125,0.47786,0.4796004999999999,200,5,10000
internal_test,missing_bod,inference_dropout,inference_dropout_missing_bod,lr,macro_f1,0.4110225813621355,0.4110024407091399,0.4075060470500303,0.4139268795976633,200,5,10000
internal_test,missing_bod,inference_dropout,inference_dropout_missing_bod,mpr,r2,0.4100164743209211,0.4095933400161074,0.3890911685794145,0.4258281231460158,200,5,10000
internal_test,missing_bod,inference_dropout,inference_dropout_missing_bod,mpr,mae,12.97239470753097,12.976031456292016,12.81735144506635,13.207702444092575,200,5,10000
internal_test,missing_bod,inference_dropout,inference_dropout_missing_bod,mpr,rmse,15.471108353001872,15.489407463109815,15.28050386706895,15.761078965304264,200,5,10000
internal_test,missing_bod,inference_dropout,inference_dropout_missing_bod,mpr,nmae,0.1488553204805799,0.1490714716638018,0.145604573499425,0.1520582170083708,200,5,10000
internal_test,missing_bod,inference_dropout,inference_dropout_missing_bod,mpr,accuracy,0.34274,0.3427026999999999,0.33672,0.34816,200,5,10000
internal_test,missing_bod,inference_dropout,inference_dropout_missing_bod,mpr,macro_f1,0.3162331161812681,0.3163418138616735,0.3092703920944007,0.3240119593211676,200,5,10000
internal_test,missing_bod,inference_dropout,inference_dropout_missing_bod,rf,r2,0.5037473525025931,0.503458768274895,0.4968118186796717,0.5088911252298395,200,5,10000
internal_test,missing_bod,inference_dropout,inference_dropout_missing_bod,rf,mae,12.220432339333325,12.219305546566655,12.150325302266657,12.28844566373332,200,5,10000
internal_test,missing_bod,inference_dropout,inference_dropout_missing_bod,rf,rmse,14.190775504433136,14.19398900337722,14.130349747376505,14.273694919353138,200,5,10000
internal_test,missing_bod,inference_dropout,inference_dropout_missing_bod,rf,nmae,0.1402240467717746,0.1402358973011611,0.1371602058759614,0.1429535618795242,200,5,10000
internal_test,missing_bod,inference_dropout,inference_dropout_missing_bod,rf,accuracy,0.3653,0.3652977,0.363297,0.3683285,200,5,10000
internal_test,missing_bod,inference_dropout,inference_dropout_missing_bod,rf,macro_f1,0.3486102698237995,0.3479505259806648,0.3366282458247819,0.3609649052437619,200,5,10000
internal_test,missing_bod,inference_dropout,inference_dropout_missing_bod,svm,r2,0.0104773677265299,0.0111208041579804,0.0016292406400597,0.019159788857093,200,5,10000
internal_test,missing_bod,inference_dropout,inference_dropout_missing_bod,svm,mae,17.09951610662734,17.09799225945655,16.96598355332601,17.214667875657046,200,5,10000
internal_test,missing_bod,inference_dropout,inference_dropout_missing_bod,svm,rmse,20.03877826478107,20.038664950800936,19.922519907845206,20.15700229396364,200,5,10000
internal_test,missing_bod,inference_dropout,inference_dropout_missing_bod,svm,nmae,0.1962078391903497,0.1963245974257358,0.1918499800831161,0.2000781755195362,200,5,10000
internal_test,missing_bod,inference_dropout,inference_dropout_missing_bod,svm,accuracy,0.30682,0.3069651,0.3053725,0.308321,200,5,10000
internal_test,missing_bod,inference_dropout,inference_dropout_missing_bod,svm,macro_f1,0.3295448937864581,0.3286693978796553,0.3063654167279983,0.3524821502389799,200,5,10000
internal_test,missing_bod,inference_dropout,inference_dropout_missing_bod,xgboost,r2,0.5110061882190594,0.510691979240712,0.505371823115471,0.5169118374005869,200,5,10000
internal_test,missing_bod,inference_dropout,inference_dropout_missing_bod,xgboost,mae,12.132683312335208,12.130180988526368,12.04018523058777,12.187813529956054,200,5,10000
internal_test,missing_bod,inference_dropout,inference_dropout_missing_bod,xgboost,rmse,14.086622416114452,14.086526378061269,13.99510255511512,14.158003555692904,200,5,10000
internal_test,missing_bod,inference_dropout,inference_dropout_missing_bod,xgboost,nmae,0.1392187675415848,0.1392902890088699,0.1361236150709347,0.1423400552138466,200,5,10000
internal_test,missing_bod,inference_dropout,inference_dropout_missing_bod,xgboost,accuracy,0.36906,0.3689947999999999,0.36688,0.3722805,200,5,10000
internal_test,missing_bod,inference_dropout,inference_dropout_missing_bod,xgboost,macro_f1,0.3950547324608332,0.3942707125307662,0.3725388396721522,0.424545640547803,200,5,10000
internal_test,missing_bod,reduced_retraining,reduced_retraining_missing_bod,lightgbm,r2,0.894229579042813,0.8941860842369259,0.8929080467317632,0.8956731492688933,200,5,10000
internal_test,missing_bod,reduced_retraining,reduced_retraining_missing_bod,lightgbm,mae,4.755699691193775,4.756438306808417,4.730462188432419,4.78182118700761,200,5,10000
