missing_set,experiment_mode,model_type,stress_scenario,severity,mean_window_detection_rate_mean_decrease,mean_window_detection_rate_drop_ge_1,mean_window_detection_rate_any_category_worse,mean_pct_category_worse,mean_pct_score_decreased,mean_pct_drop_ge_1,mean_pct_drop_ge_5,mean_score_drop,mean_delta_score,mean_severity_monotonicity_rate_drop,min_severity_monotonicity_rate_drop
complete,full_reference,lr,ammonia_pollution,medium_100pct,1.0,0.9813084112149532,1.0,0.1491629499398538,1.0,0.4239685389099658,0.2117124086240399,3.626378458959696,-3.626378458959696,1.0,1.0
complete,full_reference,lr,combined_pollution,high_300pct,1.0,1.0,1.0,0.980391042842602,1.0,1.0,1.0,60.57184394274916,-60.57184394274916,1.0,1.0
complete,full_reference,lr,combined_pollution,low_30pct,1.0,1.0,1.0,0.8625672249467938,1.0,1.0,0.985939113537522,18.275345051309912,-18.275345051309912,1.0,1.0
complete,full_reference,lr,combined_pollution,medium_100pct,1.0,1.0,1.0,0.977422596465254,1.0,1.0,0.999626168224299,40.42887502317721,-40.42887502317721,1.0,1.0
complete,full_reference,lr,conductivity_event,high_300pct,1.0,0.0,0.7925233644859813,0.0214403627278615,1.0,0.0885929490145276,0.0150015730545017,0.4900480369034302,-0.4900480369034302,1.0,1.0
complete,full_reference,lr,conductivity_event,low_30pct,1.0,0.0,0.2523364485981308,0.0031163135005089,1.0,0.0254714536874248,0.0,0.08108947823541,-0.08108947823541,1.0,1.0
complete,full_reference,lr,conductivity_event,medium_100pct,1.0,0.0,0.5887850467289719,0.0100934579439252,1.0,0.0580429351346349,0.0,0.2274879047321381,-0.2274879047321381,1.0,1.0
complete,full_reference,lr,organic_pollution,high_300pct,1.0,1.0,1.0,0.9710404367539556,1.0,1.0,0.9917831035439992,48.60050256930548,-48.60050256930548,1.0,1.0
complete,full_reference,lr,organic_pollution,low_30pct,1.0,1.0,1.0,0.8116047006569815,1.0,0.9931821967243452,0.942231886740076,16.838399671115393,-16.838399671115393,1.0,1.0
complete,full_reference,lr,organic_pollution,medium_100pct,1.0,1.0,1.0,0.95929786249653,1.0,1.0,0.9740520033311744,35.72554930375975,-35.72554930375975,1.0,1.0
complete,full_reference,lr,suspended_solids_event,high_300pct,1.0,0.7831775700934579,0.97196261682243,0.0989876931618395,1.0,0.3372503007310077,0.1135528823910428,2.221549696142347,-2.221549696142347,1.0,1.0
complete,full_reference,lr,suspended_solids_event,low_30pct,1.0,0.0,0.5383177570093458,0.0104795040251688,1.0,0.0627691311187193,0.0033644859813084,0.2564653290840822,-0.2564653290840822,1.0,1.0
complete,full_reference,lr,suspended_solids_event,medium_100pct,1.0,0.2915887850467289,0.8990654205607477,0.0395787915240122,1.0,0.161134634958823,0.0433235865642639,0.849459355725626,-0.849459355725626,1.0,1.0
complete,full_reference,mpr,ammonia_pollution,high_300pct,0.2317757009345794,0.1476635514018691,1.0,0.1619006199685389,0.8653111871934858,0.5142727861571205,0.276492643656889,-6.570519469982392,6.570519469982392,0.1271028037383177,0.1271028037383177
complete,full_reference,mpr,ammonia_pollution,low_30pct,0.697196261682243,0.0,0.9700934579439252,0.0354076061811788,0.9469984269454984,0.2719639122790783,5.607476635514019e-05,0.1591583077566136,-0.1591583077566136,0.1271028037383177,0.1271028037383177
complete,full_reference,mpr,ammonia_pollution,medium_100pct,0.4373831775700935,0.2579439252336448,1.0,0.0896604052928657,0.92467789395762,0.4170600536689183,0.1331712778754511,-1.0580773194257254,1.0580773194257254,0.1271028037383177,0.1271028037383177
complete,full_reference,mpr,combined_pollution,high_300pct,0.0,0.0,0.4130841121495327,0.0056226519848246,0.0092836124733968,0.0087047284167669,0.0068194688627741,-410.4330787516055,410.4330787516055,0.0,0.0
complete,full_reference,mpr,combined_pollution,low_30pct,0.0,0.0,0.794392523364486,0.0206456926066438,0.065192930508004,0.0592197649671509,0.0270367354492458,-68.63254307304005,68.63254307304005,0.0,0.0
complete,full_reference,mpr,combined_pollution,medium_100pct,0.0,0.0,0.8523364485981308,0.018781715554733,0.0342988803553252,0.0323214583140557,0.0258051263070232,-279.71740507978035,279.71740507978035,0.0,0.0
complete,full_reference,mpr,conductivity_event,high_300pct,0.788785046728972,0.1495327102803738,0.9794392523364486,0.0424075136485611,0.9331170537614508,0.2264014064957897,0.0185709262515036,0.4267177625119175,-0.4267177625119175,0.6710280373831776,0.6710280373831776
complete,full_reference,mpr,conductivity_event,low_30pct,0.6878504672897197,0.0,0.3607476635514018,0.0043331174238919,0.9542126399555844,0.0062553900249838,9.345794392523364e-05,0.020876630318809,-0.020876630318809,0.6710280373831776,0.6710280373831776
complete,full_reference,mpr,conductivity_event,medium_100pct,0.6915887850467289,0.0,0.7925233644859813,0.0162688997871749,0.946596465254002,0.0580932728786897,0.0011018784121402,0.0733987858305538,-0.0733987858305538,0.6710280373831776,0.6710280373831776
complete,full_reference,mpr,organic_pollution,high_300pct,0.0,0.0,0.4785046728971963,0.0085298417692236,0.0235404830202646,0.0226456926066438,0.0158700842046821,-404.08318795146505,404.08318795146505,0.0,0.0
complete,full_reference,mpr,organic_pollution,low_30pct,0.0,0.0,0.6897196261682244,0.0164389747385953,0.0785514944017766,0.0727243453317294,0.0,-69.08889175420151,69.08889175420151,0.0,0.0
complete,full_reference,mpr,organic_pollution,medium_100pct,0.0,0.0,0.6542056074766355,0.0165492736189506,0.0502283705006014,0.0483619876006292,0.0211864532247617,-278.92318562965187,278.92318562965187,0.0,0.0
complete,full_reference,mpr,suspended_solids_event,high_300pct,0.5887850467289719,0.4990654205607476,1.0,0.1925361339872305,0.9437125936892756,0.6936576293143333,0.2747065790691219,-1.0331579176135892,1.0331579176135892,0.4803738317757009,0.4803738317757009
complete,full_reference,mpr,suspended_solids_event,low_30pct,0.8822429906542056,0.0186915887850467,0.8990654205607477,0.0273413528268714,0.9757301748866476,0.1812475247524752,0.0006542056074766,0.3091498242033952,-0.3091498242033952,0.4803738317757009,0.4803738317757009
complete,full_reference,mpr,suspended_solids_event,medium_100pct,0.7476635514018691,0.4074766355140187,0.9925233644859812,0.0846736374572036,0.966351068751735,0.448203941889516,0.0943009160729157,0.1977034333686496,-0.1977034333686496,0.4803738317757009,0.4803738317757009
complete,full_reference,rf,ammonia_pollution,high_300pct,1.0,1.0,1.0,0.187357268437124,0.955877856944573,0.7205838808179883,0.2198811881188118,2.9824531876746576,-2.9824531876746576,1.0,1.0
complete,full_reference,rf,ammonia_pollution,low_30pct,1.0,0.0,0.955140186915888,0.0331535116128435,0.9394305542703802,0.1845126307023225,0.0015489960210974,0.5606812108139819,-0.5606812108139819,1.0,1.0
complete,full_reference,rf,ammonia_pollution,medium_100pct,1.0,0.9869158878504672,0.9962616822429906,0.0920588507448875,0.9561600814287036,0.5471612843527344,0.0087776441195521,1.4720955457512106,-1.4720955457512106,1.0,1.0
complete,full_reference,rf,combined_pollution,high_300pct,1.0,1.0,1.0,0.9951248265013416,0.9997205514944018,0.9996457851392616,0.9985242898121588,27.41354839677372,-27.41354839677372,1.0,1.0
complete,full_reference,rf,combined_pollution,low_30pct,1.0,1.0,1.0,0.5752523364485981,0.9815961876561488,0.96394781160359,0.7874190802257797,8.981802086400796,-8.981802086400796,1.0,1.0
complete,full_reference,rf,combined_pollution,medium_100pct,1.0,1.0,1.0,0.9016687332284632,0.9996829832515964,0.999384102896271,0.9885390950309983,19.439575588532133,-19.439575588532133,1.0,1.0
complete,full_reference,rf,conductivity_event,high_300pct,1.0,0.0,0.22803738317757,0.0025587119459609,0.6484395299343018,0.0006902933283982,0.0,0.0428851041670522,-0.0428851041670522,0.8785046728971962,0.8785046728971962
complete,full_reference,rf,conductivity_event,low_30pct,0.983177570093458,0.0,0.1177570093457943,0.0012319792726936,0.5799888960858702,3.738317757009346e-05,0.0,0.0139755546343422,-0.0139755546343422,0.8785046728971962,0.8785046728971962
complete,full_reference,rf,conductivity_event,medium_100pct,0.9962616822429906,0.0,0.1869158878504672,0.0020908670306282,0.6301130748588878,0.0004667345239196,0.0,0.0308495714999541,-0.0308495714999541,0.8785046728971962,0.8785046728971962
complete,full_reference,rf,organic_pollution,high_300pct,1.0,1.0,1.0,0.8966201536041455,0.99962653835477,0.9983943740168408,0.9485790691218656,20.310272275667025,-20.310272275667025,1.0,1.0
complete,full_reference,rf,organic_pollution,low_30pct,1.0,1.0,1.0,0.5083127602479874,0.9695132784306468,0.9390173035995188,0.7021939483667993,7.478162553240188,-7.478162553240188,1.0,1.0
