source,missing_set,experiment_mode,experiment,model_type,stress_scenario,n_seed_window_cases,severity_monotonicity_rate_delta,severity_monotonicity_rate_drop,mean_delta_low_30pct,mean_score_drop_low_30pct,mean_delta_medium_100pct,mean_score_drop_medium_100pct,mean_delta_high_300pct,mean_score_drop_high_300pct
external_10714,missing_bod,inference_dropout,inference_dropout_missing_bod,svm,ammonia_pollution,535,0.4018691588785046,0.4018691588785046,-0.386270011441456,0.386270011441456,-0.5916220316488886,0.5916220316488886,-0.0828372979775657,0.0828372979775657
external_10714,missing_bod,inference_dropout,inference_dropout_missing_bod,svm,combined_pollution,535,0.0,0.0,-4.9038973278551,4.9038973278551,6.69273543259186,-6.69273543259186,12.728949044528177,-12.728949044528177
external_10714,missing_bod,inference_dropout,inference_dropout_missing_bod,svm,conductivity_event,535,0.3252336448598131,0.3252336448598131,0.0944372541282982,-0.0944372541282982,0.3129174944047218,-0.3129174944047218,0.4038361313623065,-0.4038361313623065
external_10714,missing_bod,inference_dropout,inference_dropout_missing_bod,svm,organic_pollution,535,0.0,0.0,-4.599316320674076,4.599316320674076,6.72043509674153,-6.72043509674153,11.763260888686712,-11.763260888686712
external_10714,missing_bod,inference_dropout,inference_dropout_missing_bod,svm,suspended_solids_event,535,0.9626168224299064,0.9626168224299064,-0.7309125711393971,0.7309125711393971,-1.980133600203403,1.980133600203403,-4.018045503640916,4.018045503640916
external_10714,missing_bod,inference_dropout,inference_dropout_missing_bod,xgboost,ammonia_pollution,535,1.0,1.0,-0.5337754591046092,0.5337754591046092,-1.5232050045628414,1.5232050045628414,-3.072444954096714,3.072444954096714
external_10714,missing_bod,inference_dropout,inference_dropout_missing_bod,xgboost,combined_pollution,535,1.0,1.0,-9.24140142102108,9.24140142102108,-19.5063036125397,19.5063036125397,-28.48120295087868,28.48120295087868
external_10714,missing_bod,inference_dropout,inference_dropout_missing_bod,xgboost,conductivity_event,535,0.9532710280373832,0.9532710280373832,-0.0221748931365246,0.0221748931365246,-0.0531569313982536,0.0531569313982536,-0.0985380128530837,0.0985380128530837
external_10714,missing_bod,inference_dropout,inference_dropout_missing_bod,xgboost,organic_pollution,535,1.0,1.0,-7.773874892475449,7.773874892475449,-15.561208858668246,15.561208858668246,-20.62518086656232,20.62518086656232
external_10714,missing_bod,inference_dropout,inference_dropout_missing_bod,xgboost,suspended_solids_event,535,1.0,1.0,-0.9696293659299332,0.9696293659299332,-2.5364193403832265,2.5364193403832265,-4.777808073525117,4.777808073525117
external_10714,missing_bod,reduced_retraining,reduced_retraining_missing_bod,lightgbm,ammonia_pollution,535,1.0,1.0,-1.1635778001268935,1.1635778001268935,-3.129275493141679,3.129275493141679,-6.303897439695759,6.303897439695759
external_10714,missing_bod,reduced_retraining,reduced_retraining_missing_bod,lightgbm,combined_pollution,535,1.0,1.0,-10.14278115538744,10.14278115538744,-21.66326128987414,21.66326128987414,-33.31537768400134,33.31537768400134
external_10714,missing_bod,reduced_retraining,reduced_retraining_missing_bod,lightgbm,conductivity_event,535,0.5177570093457944,0.5177570093457944,0.0612044241633339,-0.0612044241633339,-0.0325802697653045,0.0325802697653045,-0.1571330916295835,0.1571330916295835
external_10714,missing_bod,reduced_retraining,reduced_retraining_missing_bod,lightgbm,organic_pollution,535,1.0,1.0,-8.077996976991987,8.077996976991987,-15.729018193829647,15.729018193829647,-21.75985929490474,21.75985929490474
external_10714,missing_bod,reduced_retraining,reduced_retraining_missing_bod,lightgbm,suspended_solids_event,535,1.0,1.0,-1.0063713104869736,1.0063713104869736,-2.60787360094546,2.60787360094546,-4.91654504074018,4.91654504074018
external_10714,missing_bod,reduced_retraining,reduced_retraining_missing_bod,lr,ammonia_pollution,535,1.0,1.0,-1.1868687726602845,1.1868687726602845,-3.9149283766656913,3.9149283766656913,-9.996538846870068,9.996538846870068
external_10714,missing_bod,reduced_retraining,reduced_retraining_missing_bod,lr,combined_pollution,535,1.0,1.0,-12.996722066099812,12.996722066099812,-24.103673096591823,24.103673096591823,-39.44867085311096,39.44867085311096
external_10714,missing_bod,reduced_retraining,reduced_retraining_missing_bod,lr,conductivity_event,535,1.0,1.0,-0.0731769728496276,0.0731769728496276,-0.2052902126201252,0.2052902126201252,-0.442230393780438,0.442230393780438
