dataset_size,dataset,fold,model_type,split,n_samples,r2,mae,rmse,nmae,accuracy,macro_f1,training_s,prediction_s
1000,dataV1_1000,2,lightgbm,test,200,0.9910338429909042,1.193631102876712,1.8788335644130336,0.0157305100537257,0.96,0.965671068427371,20.57758377492428,0.0117673408240079
1000,dataV1_1000,3,lr,train,800,0.8109279908158502,6.755429565983344,8.607705675584517,0.0842007922969381,0.65125,0.5044447471150243,0.0076865833252668,0.0126746278256177
1000,dataV1_1000,3,lr,test,200,0.8214417398307148,6.533084207827045,8.268731955834484,0.0879876660986807,0.64,0.6207807581733575,0.0076865833252668,0.0024312809109687
1000,dataV1_1000,3,mpr,train,800,0.9185318863970624,4.541265370880312,5.650249417723933,0.056603083271598,0.75625,0.5973966792387082,0.0165439024567604,0.0591703858226537
1000,dataV1_1000,3,mpr,test,200,0.9020039639243156,4.539527568369226,6.125664337132653,0.0611384184292151,0.765,0.6017626217930477,0.0165439024567604,0.003539377823472
1000,dataV1_1000,3,svm,train,800,0.9824513566211868,1.810113741685497,2.622379632985719,0.0225615572938488,0.88625,0.8752555772208058,0.0688654724508524,0.0396542306989431
1000,dataV1_1000,3,svm,test,200,0.9778382035917912,2.038261464593317,2.913073358791299,0.0274513328564756,0.915,0.8447619652670966,0.0688654724508524,0.0104827713221311
1000,dataV1_1000,3,rf,train,800,0.9978668969733038,0.605824916666663,0.9142810218569354,0.0075511020399683,0.9725,0.9662925487508822,1.2406589780002832,0.1494082249701023
1000,dataV1_1000,3,rf,test,200,0.9841762392107608,1.6260686666666757,2.4615224185067075,0.0218999147025814,0.96,0.9161544921232864,1.2406589780002832,0.1042374968528747
1000,dataV1_1000,3,xgboost,train,800,0.9999514344280236,0.1006731233596803,0.1379551897944016,0.001254806473385,0.99875,0.999123512345592,1.4757441617548466,0.0761376488953828
1000,dataV1_1000,3,xgboost,test,200,0.991213937606824,1.2042985496520997,1.8341974381177453,0.0162195090862235,0.98,0.9322853279242732,1.4757441617548466,0.0829810556024313
1000,dataV1_1000,3,lightgbm,train,800,0.999541776281996,0.2682875544666775,0.4237527908216074,0.0033439804869335,0.98875,0.9768062804512976,14.60484235920012,0.0136197619140148
1000,dataV1_1000,3,lightgbm,test,200,0.9935253387476072,1.0400330973514589,1.5745536635982005,0.0140071797623092,0.985,0.9633298933608532,14.60484235920012,0.0066655986011028
1000,dataV1_1000,4,lr,train,800,0.8049976194199692,6.749980798570753,8.679500413197392,0.0841328779580051,0.635,0.4946207544687616,0.0082202143967151,0.0028739068657159
1000,dataV1_1000,4,lr,test,200,0.8445149652447016,6.460114917410415,7.936732260777175,0.0886891119908074,0.71,0.5177942711804168,0.0082202143967151,0.0028413608670234
1000,dataV1_1000,4,mpr,train,800,0.9159196873978088,4.567260800622542,5.6993054120170585,0.0569270946107757,0.75,0.5839001713302062,0.0679076928645372,0.0286228042095899
1000,dataV1_1000,4,mpr,test,200,0.9273462684400392,4.234403428969646,5.425332939410319,0.0581329410896436,0.82,0.7818254602231935,0.0679076928645372,0.003490824252367
1000,dataV1_1000,4,svm,train,800,0.982578924214856,1.7763018736563685,2.5942525754858767,0.0221401205740541,0.90625,0.8973167084437692,0.0892794765532016,0.0538800898939371
1000,dataV1_1000,4,svm,test,200,0.977944005068621,2.1362566426625587,2.9892398213005382,0.0293280703276023,0.845,0.7746458930832235,0.0892794765532016,0.0125866457819938
1000,dataV1_1000,4,rf,train,800,0.998089487326794,0.5709535000000009,0.8591118965908211,0.0071164589305746,0.9725,0.9603510917745048,1.0919818561524153,0.1350477524101734
1000,dataV1_1000,4,rf,test,200,0.9905358332162932,1.2968898333333312,1.9581169418814888,0.0178046380194032,0.95,0.9331425957395264,1.0919818561524153,0.123647391796112
1000,dataV1_1000,4,xgboost,train,800,0.9999564699533248,0.0961026397705078,0.1296789059732281,0.0011978392094043,0.99875,0.9986304207966678,1.5400606077164412,0.1137557458132505
1000,dataV1_1000,4,xgboost,test,200,0.9958644102195964,0.9082298515319828,1.294393010557466,0.0124688337662271,0.975,0.958093593974782,1.5400606077164412,0.0783517807722091
1000,dataV1_1000,4,lightgbm,train,800,0.9995567539104888,0.2660188245861841,0.4138064235164875,0.0033157026621735,0.99125,0.9873799376017146,5.033768290653825,0.0125786922872066
1000,dataV1_1000,4,lightgbm,test,200,0.995349234347607,0.9346515470741992,1.3726495140029464,0.0128315698390197,0.955,0.9158522682506977,5.033768290653825,0.0146819539368152
