DO,BOD,NH3N,EC,SS,Score
50.7,2.3,4.79,640,18.3,50.99
28.1,2.8,2.7,32700,68.3,34.24
122,1.1,2.44,316,6,78.4
96.1,1.2,0.35,537,69.8,77.24
78.1,0.7,1.16,842,34.9,73.18
111,1,0.01,338,1.6,93.6
102.6,0.8,0.01,413,2.6,95.43
110,0.3,0.01,628,3,96.19
101.8,0.8,0.03,442,52,82.84
100.3,37.2,0.05,183,5.1,72.86
105.3,1.2,0.02,254,5.8,93.47
103.2,1.3,0.03,220,12.2,89.33
94.7,18.2,0.12,210,3.2,73.45
100.6,0.8,0.05,147,1.8,94.98
109.8,1.4,0.04,148,2,91.74
99.8,1.2,0.04,143,3.1,93.62
80.2,1.4,0.12,173,3.6,88.62
74.1,1.9,0.35,222,13,76.53
66.9,1.7,0.59,466,17.5,69.82
107.8,1.3,0.06,136,3.8,92.16
98.5,1.5,0.04,479,94,80.06
100.7,1.2,0.06,462,101,78.07
91.2,1.7,0.09,464,150,75.35
94.4,0.2,0.04,417,5.4,97.14
59.3,3.3,1.24,207,10.8,56.2
47.5,2.4,0.89,732,57,46.97
103.3,1.4,0.08,138,3,91.98
55.2,2.2,0.6,14000,20.3,61.61
93,1.6,0.12,418,80.5,78.37
98,0.9,0.03,274,300,79.79
94.8,1.4,0.07,408,22.6,88.57
99.8,1.2,0.12,489,8.4,92.47
100.2,0,0.03,346,16.2,93.85
97.6,0.5,0.05,420,34.6,87.57
119.4,0.5,0.03,228,4.9,93.4
102.7,0.1,0.03,340,6.8,97.38
100.3,1.5,0.06,432,105,76.86
98.6,2.3,0.12,438,83.5,75.49
100.2,1.1,0.03,202,3.1,94.15
111.4,4.4,0.46,288,17.5,71.79
80.2,2.1,1.14,392,18.2,73.21
76.8,1.7,0.56,465,4.4,80.58
99.2,0.1,0.03,219,1.3,97.59
103.4,1.6,0.05,468,19.6,87.76
97.2,0.7,0.04,354,20.4,91.78
94.6,0.5,0.02,477,1.3,96.51
109.4,0.7,0.02,460,1,94.82
104.6,0.5,0.23,582,19.7,89.43
119.6,1.2,0.06,496,9.7,90.31
98.2,3.5,0.43,586,40,70.87
99.6,0.9,0.01,590,11,91.44
99.8,0.6,0.02,560,2.6,96.17
99.3,0.7,0.09,583,2.9,94.82
97.3,1.2,0.2,122,29.5,82.91
97,1.4,0.15,124,59,78.95
97.7,1.6,0.16,124,44.6,77.97
100.4,1.5,0.04,478,6.4,92.34
100.4,0.3,0.06,147,18.3,92.73
99.9,1.6,0.09,147,17,87.43
39.2,1.4,1.26,13200,39.9,50.38
54.7,2.6,0.98,31800,16.9,56.59
97.6,1.6,0.11,236,15.1,87.21
96.9,1.7,0.24,336,10,88.85
20.1,8.2,0.83,436,72.8,28.37
22.3,8,1,409,24.6,36.53
76.3,3.6,0.8,450,15.4,67.04
102.3,0.3,0.04,128,13.8,92.9
82.2,8.6,0.43,212,26.8,62.14
97.6,0.4,0.17,103,2.8,94.77
69.8,2.5,0.72,172,22.4,66.78
51.7,4.3,1.61,171,17.3,49.39
45.4,4.7,1.81,180,42.1,37.35
109.2,0.5,0.05,93,2,95.11
101.3,0.2,0.05,94,5.8,96.92
97,4.8,0.34,153,5.4,77.91
102.3,0.5,0.06,90,3,95.77
102.6,0.6,0.14,130,6.2,94.28
87.1,1.9,0.32,153,11.4,82.24
105.6,0.7,0.05,125,3.5,94.91
100.6,4.5,0.16,109,17.1,76.53
94.2,1.2,0.16,125,68.2,79.57
99.8,2,0.03,100,20.8,86.59
103.3,1.3,0.05,108,21.1,89.03
98.7,0.6,0.06,94,3,95.63
17.8,4.5,2.5,260,27.9,31.92
19.4,3.2,1.66,1130,32.8,36.91
91.9,1.2,0.29,146,6,90.08
80.3,3.3,0.33,158,55.3,65.84
72.2,4.7,0.45,163,57.7,56.75
65.2,5.8,0.56,168,55,50.08
90.5,1.9,0.32,145,59,74.26
86,2.8,0.26,154,59.2,70.39
63.6,5,0.38,158,47.4,52.01
98.3,1.5,0.05,212,26.6,83.73
90.8,0.3,0.03,256,36.8,88.15
82.7,16,11.6,2490,13.2,52.75
79.5,8.8,6.96,1600,24.2,54.32
56.6,14.6,8.25,1340,17.8,38.87
85.8,13.9,6.57,584,17.7,54.22
77.2,12.3,5.13,1070,21.4,52.24
55.9,13,10.5,2970,10.2,38.97
76.7,11.4,6.08,1690,17.6,51.53
70,8.6,8.54,539,8.8,52.3
66.2,13.9,8.57,527,13.9,43.72
62.5,10.8,8.56,692,25,43.01
75.3,4.5,3.32,336,6.8,63.2
73.9,4.5,7.4,389,11.3,55.57
70.2,7.7,5.29,621,10.1,50.02
84.6,5.8,4.03,1010,11.4,61.29
81,7.9,2.58,974,32.2,54.94
77.7,4.1,0.46,764,15,69.46
93.3,6.5,1.28,798,16.8,66.03
69.2,8.7,1.56,1750,18.2,53.3
