DO,BOD,NH3N,EC,SS
127.5,0.5,0.46,1080,13.6
106,1.2,0.02,839,10.8
102.9,1.6,0.02,572,15.1
82.2,0.4,0.05,614,18
31.9,5.6,7.11,928,20.6
43.7,4.3,5.04,14700,15.4
21.3,2.5,2.51,39400,25
23.9,3.7,5.63,3230,11.4
47.4,6.2,5.74,17900,47.9
32.1,10.9,13,1270,10.8
49.4,5.9,17.5,1500,9.6
26.1,2.4,15,1530,19.7
60.2,1.3,0.01,526,5.2
53.8,6.5,4.04,1000,14.7
6.6,12.9,23.3,7980,19.2
18.2,13,27.3,2380,41.3
72.1,1.3,1.67,1060,13.2
96.8,1.1,0.05,632,64.6
88.9,2.1,2.8,731,17.1
93.3,2.7,2.18,1220,44.4
97,1.7,1.22,646,43.7
103.2,0.8,0.01,504,1.6
100.6,0.5,0.01,571,6.8
94.2,0.7,0.01,510,3.4
112.6,0.7,0.02,579,28.5
96.2,1,0.01,476,3.5
104.4,0.9,0.06,524,21.2
112.6,0.4,0.02,503,12
88.6,0.3,0.06,680,1140
70.6,7.8,4.94,690,30.6
50.4,3.6,3.01,792,8
94.8,1.7,0.95,328,15.6
86.8,1.6,0.41,405,25.1
62.8,4.2,3.11,636,29.3
54.5,4.1,3.72,620,17.4
46.8,4.5,2.3,26600,8.9
80.6,7,2.11,346,18.1
98.3,0.9,0.4,572,68
91.3,0.6,0.7,682,44
109.2,0.2,0.01,366,3.1
99.7,1.2,0.01,367,29.3
99.4,1.1,0.02,380,51.3
65.6,0.5,0.01,781,2.8
93.2,0.6,0.18,35000,23.6
97.7,1.4,0.01,444,3.3
96.4,1.9,0.01,860,7.7
101,0.9,0.04,410,932
98.1,1,0.01,180,4.2
105.4,0.8,0.04,248,16.8
103.2,0.4,0.03,210,15
101.8,0.2,0.03,186,1.3
94,0.6,0.07,204,7.4
101.8,0.5,0.05,128,3.3
100.9,0.6,0.04,130,8
102.9,0.6,0.03,123,5.6
82.2,1,0.14,172,6.6
70.3,1.8,0.34,206,10.2
58.8,0.2,0.44,312,22.5
99.1,0.3,0.08,139,3.6
96,0.6,0.05,316,61.2
94.2,0.2,0.07,374,81.5
92.2,1.6,0.05,398,72.4
96.4,0.2,0.03,400,8.1
52.2,1.5,1.15,184,22.4
50.2,1.3,0.82,716,24.4
98.8,0.8,0.03,116,2.6
48.6,0.7,0.67,9340,28.2
93.8,17.1,0.05,438,29.1
100.4,0.5,0.05,293,7.8
96,0.6,0.07,420,45
98.1,0.3,0.08,464,10
100.6,0.8,0.04,342,36.2
98.2,0.5,0.06,410,92
109,0.5,0.03,238,9.4
100.5,0.3,0.04,338,95
97.6,0.5,0.09,374,180
95.4,0.6,0.14,392,88.2
99.8,0.2,0.01,195,4.6
96.2,1.4,0.51,244,11
76.7,1.4,0.71,356,7
75.2,0.4,0.49,414,5.1
99.6,0.8,0.02,216,1
106.2,0.8,0.04,450,113
99.6,1,0.03,398,41.8
102.4,0.9,0.1,599,2.2
105.8,0.8,0.04,458,3
105,0.2,0.01,441,1.1
102.2,0.8,0.07,583,51.9
121,1,0.16,503,11.6
73,13.9,1.12,750,8.9
99.5,0.9,0.01,588,78.4
91,0.1,0.02,642,2.2
101,0.8,0.06,558,16.4
101.6,1.3,0.29,166,3.4
100.5,2.4,0.33,185,4.8
100.3,1.7,0.45,207,4.5
105.5,0.6,0.11,1330,2.4
103,0.3,0.02,288,2.4
104.8,0.9,0.03,282,3.6
49.5,1.1,1.87,14700,23.7
67.4,0.3,0.97,34300,12.8
111.3,2.4,0.08,243,11.3
28,5.4,0.45,535,10.2
24.2,3.6,0.56,498,31.2
104.5,2.5,0.4,441,6.6
89.8,1.9,0.03,162,1.8
39.5,12.5,0.49,321,5.6
103.9,1.2,0.17,114,1
26.9,2,1.37,235,13
21.6,3.8,1.84,236,15.2
14.6,4.5,1.9,280,8.7
96.4,1.1,0.06,102,6.9
92.8,0.1,0.09,104,2.2
82.3,1.5,0.73,176,4.4
91.3,1.5,0.38,209,2
80.3,4.6,0.64,245,3.6
108,1.1,0.12,195,2.6
106.4,1.9,0.14,148,4.9
91.4,1.4,0.39,221,1.4
100.4,2.6,0.02,133,4.6
103.4,1.5,0.03,147,4.3
113,0.9,0.19,93,4.5
103.6,0.8,0.11,109,2.4
11,3.9,3.32,537,21.8
36,2,2.61,1520,31.2
83.4,2,0.56,245,3.2
37.7,2.3,0.91,276,10
30.2,1.3,0.44,288,10
33.2,2.5,0.42,312,15.2
58,4,0.34,245,8.7
46,4.1,0.4,275,3.8
33.4,3.8,0.42,298,17
107.6,1.5,0.02,234,22.2
107.8,1.2,0.02,217,9
87,14.1,11.2,2560,8.8
80,11.3,7.86,1670,17.1
77.8,17,8,1320,21.7
95.7,11.5,5.75,800,18.4
80.4,13.7,3.7,1040,20.4
67.7,16.7,11.8,2780,10
95.3,14.5,6.11,1700,22.1
80.1,8.9,4.75,465,16.8
71.4,11.3,6.06,466,23.3
80.8,15.2,6.07,602,64.8
92.9,3.9,1.83,271,11.8
98.8,4.8,2.65,287,13.5
89.8,5.5,2.93,600,7.3
90.2,8.6,3.41,986,14.4
82.5,5.1,1.16,804,27.5
92.6,3.8,0.22,487,15.4
108.6,4.9,0.99,952,14.3
85,7,2.7,1970,25.4
94.2,1.2,0.08,283,2.2
77,9.9,9.28,872,10.2
91.6,9.8,8.27,950,34
104.3,1.7,0.13,599,9.9
53.4,26.3,7.04,1520,89.5
111.2,3.7,0.3,443,17.3
101.5,4.5,0.95,493,20.5
136.6,4.2,0.07,391,11.6
77.2,0.7,0.04,480,3.2
144.3,7.3,1.45,512,24.8
54.5,8,8.31,2970,10.7
95.5,5.5,7.58,2560,13.7
99.7,2.6,0.41,610,31.4
73.2,5.7,2.6,2260,23.4
90.7,5,1.26,492,18.3
102.8,3.1,0.1,383,12.3
78.6,6.9,1.94,394,10.9
56.9,9.2,8.69,5360,12.5
87.7,13.3,9.16,4250,14.8
98.2,2.3,1.44,26800,24.8
67.6,7,8.8,5570,10.3
74.5,1.4,0.14,368,7
99.9,7.4,0.24,363,7.6
104,2.1,0.23,482,6.2
85.2,1.9,1.03,29700,58
94.6,1.7,0.07,298,7.2
112.8,0.3,0.04,310,1.8
116.4,0.7,0.04,315,3.9
107.4,0.3,0.03,319,1.8
107.8,0.9,0.03,325,1.5
123.8,0.6,0.03,363,9.4
107.9,0.1,0.03,229,2.2
87.6,5.5,0.93,534,58
73.3,41.3,0.13,727,58.6
118.2,0.4,0.06,370,8.1
103,0.6,0.06,384,6.3
95.4,0.7,0.1,400,4.7
68,0.3,0.78,3140,15.6
107.5,0.3,0.11,328,1.8
68.1,0.6,0.91,34400,16.2
56.4,1.4,0.79,8270,25.9
129.6,1.2,0.05,501,5.7
94.7,0.4,0.11,500,6.2
67.6,4.2,0.67,23500,5.6
71.2,4.9,0.44,28400,25.3
112.6,0,0.07,195,2.8
125.6,0,0.07,261,3.8
124.2,0.3,0.09,318,8
96.6,10.5,0.04,188,3.2
103.3,2.3,0.04,394,1.4
107.9,4.5,0.06,404,9.2
102,0.1,0.08,365,15.9
103.4,0.7,0.09,431,3.8
112,0.4,0.02,186,1
101.5,7.6,0.04,263,3.6
107.8,0.6,0.03,254,1.4
109.1,0.7,0.05,257,1.5
111.4,2.9,0.06,228,11
122,6.2,0.05,252,5.2
112.8,7.8,0.05,470,3.6
101.2,8.5,0.02,268,1
104.4,0.9,0.07,344,29.5
90,3.4,1.2,452,59
140.8,1.5,0.05,491,2.6
109.3,4.9,1.89,464,9.2
104,2.9,1.17,490,51.6
115.4,4.2,0.39,377,10.4
86.1,19.5,1.3,395,8.4
86.2,2.9,1.15,370,9.8
105.4,3.1,0.29,394,6.5
99.4,2,0.23,412,7.8
95,1.9,0.19,449,48.6
99.1,6.9,0.14,556,36
103.6,0.4,0.08,330,18.9
105.6,0.5,0.07,354,18.3
97.6,1.3,0.31,207,5
103.9,0.3,0.11,299,9.2
105.3,0.3,0.09,305,9.2
125.8,7,0.06,544,8.8
89.8,1.2,0.39,630,55
102.2,0.1,0.16,532,549
102,0.7,0.11,528,796
103.2,1.8,0.14,512,408
134.6,1.5,0.25,380,4.2
105.6,0.5,0.05,424,42.8
112.1,0.9,0.03,427,20
94.9,0.9,0.07,663,102
90.6,13.1,0.35,510,142
89.6,3.7,0.48,516,177
81.2,2.5,1.49,598,114
49.8,2.8,2.35,1190,51.2
53.8,3.9,3.1,880,154
42.1,10.7,20,2720,95.5
74.8,2.1,1.69,733,48.6
45.2,9.2,1.51,10900,285
115,0.2,0.19,568,64.8
96.6,2.3,0.26,629,162
102.7,5.1,1.35,718,343
56.3,4.3,3.75,765,22.4
91.8,4.2,6.26,1260,35.2
54,2,5.76,1280,36.2
49.4,3,3.15,1340,52.7
85.1,2.7,0.8,2890,83.5
84,2.7,0.22,542,14.4
78.4,0.4,0.42,36700,112
105.2,0.3,0.01,480,3.7
106.4,0.9,0.02,481,51.3
75.6,2.2,4.06,989,26.8
80,3.5,4.16,1060,17.7
96.8,1.8,0.27,607,14
130.8,3.8,0.91,1040,60
98,4,0.27,12400,83.8
80.3,2.1,1.38,936,29.4
43.4,1.3,4.99,10800,41.8
62.6,0.3,1.9,36600,98.8
31.8,7.6,5.93,1150,66.7
33.2,0.4,3.65,19400,53
55.6,2.8,2.7,604,66.6
104.9,0.9,0.02,487,14.1
100.6,0.9,0.01,883,6.3
125.6,3.7,0.63,526,45.2
127.1,1.3,0.04,642,18.5
124.8,2.1,0.72,896,17.3
143.9,7.5,0.02,899,73.4
44.6,1.9,0.48,10500,247
69.2,3.6,0.23,25600,119
111.2,1.9,0.02,640,512
119.8,1.2,0.08,778,13.5
111.9,1.3,0.03,1120,36.3
93.4,1.1,0.02,672,13.4
80.6,0.5,0.06,682,19.4
30.5,4.8,6.6,913,21.2
78.2,4.9,6.02,12600,49.5
20.5,5.9,4.71,28300,36.7
48.8,3.4,6.59,3550,16.2
106,4.9,2.4,38500,69.7
53.6,13.1,12.6,1290,18.8
112.6,6.7,7.7,1250,38.6
16,7.4,28.3,1130,17.6
73.1,4.8,10,1350,56.2
52.5,1.5,0.02,458,9.6
33.2,6.9,4.57,1190,12.3
50.1,9.7,16.7,17500,46
7.4,16.8,22.6,2090,18.9
49.5,1.7,2.15,1160,24.4
91.8,1.1,0.02,526,429
94.8,1.1,0.98,568,180
93,1.3,1.4,569,169
100.9,0.5,0.02,451,42.1
100.5,1,0.01,447,41
100,0.9,0.01,469,29.9
95.8,0.3,0.01,497,19.4
111.4,0.7,0.02,526,21.1
96.4,0.6,0.02,442,7
98.3,0.7,0.05,468,178
104.8,0.9,0.03,462,127
95.4,0.9,0.02,551,467
81.2,5.2,5.91,678,42.4
43,5.1,3.52,742,12.2
76.3,1.5,0.99,318,78.3
81.8,0,0.23,382,28
62.2,2.7,2.87,564,33
69.6,2.3,1.29,546,28.1
37.9,2.1,2.85,7540,18.7
82.8,1.5,1.19,324,99.2
98.1,0.4,0.1,496,17.6
102,0.7,0.32,611,58.5
106.4,0.7,0.01,326,12.8
107.8,0.8,0.01,304,2.2
100.6,0.6,0.1,322,126
92.3,0.5,0.12,35600,71.7
140.6,1.4,0.01,411,2.2
93.6,0.1,0.01,1970,7.7
103.2,1.2,0.1,380,418
102.4,1.5,0.03,172,3.2
108.2,0.6,0.07,243,3.6
102.9,0.5,0.02,209,23.7
102.4,1.4,0.07,234,3.4
102.8,0.1,0.02,142,2.6
106.5,2,0.02,144,3.5
103.2,1.5,0.02,142,3.6
75.4,2.3,0.34,184,10
76.8,9,0.37,253,16.5
66.8,2.7,0.41,422,24.3
105.2,2.4,0.15,142,5.5
96.6,0.8,0.03,402,133
99.4,0.3,0.09,434,92.5
91.6,0.2,0.09,446,97.5
97.8,0.1,0.02,454,12
57.8,1.3,1.28,194,11.1
42.4,0.1,0.91,1490,24.3
100.4,0.9,0.03,133,6.4
48.6,0.7,0.77,11300,29.5
86.8,1.3,0.17,422,108
106.4,4.7,0.05,275,40.2
102.4,1.4,0.05,402,46.7
102.8,2.8,0.06,426,22.8
103.7,1.2,0.02,328,15.2
99.9,1,0.03,432,24.4
119.2,1.4,0.04,244,5
114.2,0.2,0.01,318,7.6
101.7,1.3,0.05,442,9
102.8,1.3,0.12,470,15.5
101.5,0.9,0.02,204,1
113.2,1.8,0.43,334,3.6
92.4,3.5,0.68,404,11.3
95,1.5,0.33,473,3.2
102.4,0.2,0.02,212,1
105,0.2,0.04,445,9.1
100.8,0.3,0.02,320,17
102.1,1.3,0.08,419,2.9
